link,title,summary,date
https://www.aljazeera.com/news/2024/11/1/north-korea-pledges-to-stand-by-russia-until-victory-in-ukraine,North Korea pledges to stand by Russia until ‘victory’ in Ukraine,Pyongyang’s top diplomat also tells Russian counterpart of US and South Korea nuclear plot against North Korea.,Published On 1 Nov 2024
https://www.aljazeera.com/news/2024/11/1/russia-sentences-former-us-consulate-worker-to-nearly-five-years-in-prison,Russia sentences former US consulate worker to nearly five years in prison,"US had condemned arrest of Robert Shonov, who worked for more than 25 years in the now-shuttered mission in Vladivostok.",Published On 1 Nov 2024
https://www.aljazeera.com/news/2024/11/1/five-children-among-seven-killed-in-attack-on-pakistan-polio-vaccine-drive,Five children among seven killed in attack on Pakistan polio vaccine drive,Prime Minister Shehbaz Sharif condemns attack near a girls’ school in the southwestern province of Balochistan.,Published On 1 Nov 2024
https://www.aljazeera.com/news/2024/11/1/climate-diplomacy-can-smog-bring-india-and-pakistan-together,‘Climate diplomacy’: Can smog bring India and Pakistan together?,Pakistan Punjab’s chief minister wants to start a dialogue with her Indian counterpart for a joint effort against smog.,Published On 1 Nov 2024
https://www.aljazeera.com/gallery/2024/11/1/israeli-strikes-kill-95-palestinians-across-gaza-hospital-targeted,"Photos: Israeli strikes kill 95 Palestinians across Gaza, hospital targeted",The WHO condemns an Israeli attack on Kamal Adwan Hospital that damaged lifesaving supplies and injured staff.,Published On 1 Nov 2024
https://www.aljazeera.com/news/2024/11/1/kenyas-kithure-kindiki-sworn-in-as-deputy-president-after-court-challenge,Kenya’s Kithure Kindiki sworn in as deputy president after court challenge,Former interior minister replaces Rigathi Gachagua who was sacked after parliament impeached him in October.,Published On 1 Nov 2024
https://www.aljazeera.com/news/2024/11/1/labour-governments-shift-on-gaza-not-enough-say-british-muslims-scholars,"Labour government’s shift on Gaza not enough, say British Muslims, scholars","Despite the prime minister taking a slightly tougher line on Israel, the UK continues to supply weapons, avoid sanctions",Published On 1 Nov 2024
https://www.aljazeera.com/features/2024/11/1/could-legal-bid-stop-cruel-uk-government-plan-to-axe-winter-fuel-benefit,Why is a Scottish couple suing UK government over Winter Fuel Payment?,Labour government’s decision to scrap a winter allowance for elderly people to meet heating costs was met with outrage.,Published On 1 Nov 2024
https://www.aljazeera.com/news/2024/11/1/thais-killed-near-israel-lebanon-border-israeli-jets-pound-beirut-suburbs,"Thais killed near Israel-Lebanon border, Israeli jets pound Beirut suburbs",Seven civilians killed in rocket fire from Lebanon as Israeli forces conduct deadly air raids on Lebanon’s Beirut.,Published On 1 Nov 2024
https://www.aljazeera.com/news/2024/11/1/iraqs-parliament-elects-new-speaker-ending-yearlong-deadlock,"Iraq’s parliament elects new speaker, ending yearlong deadlock",Former Sunni speaker secured 182 votes in the 329-seat legislature with significant support from Shia political blocs.,Published On 1 Nov 2024
https://www.aljazeera.com/news/2024/11/1/us-election-4-days-left-what-polls-say-what-harris-and-trump-are-up-to,"US election: 4 days left – What polls say, what Harris and Trump are up to","On Friday Trump heads to Michigan, while Harris will focus on Wisconsin.",Published On 1 Nov 2024
https://www.aljazeera.com/news/2024/11/1/transcript-of-bidens-garbage-remarks-altered-by-white-house-ap,Transcript of Biden’s ‘garbage’ remarks altered by White House: AP,The news agency says the email it obtained shows a White House transcript was altered despite stenographers’ objections.,Published On 1 Nov 2024
https://www.aljazeera.com/news/2024/11/1/russia-ukraine-war-list-of-key-events-day-980,"Russia-Ukraine war: List of key events, day 980","As the war enters its 980th day, these are the main developments.",Published On 1 Nov 2024
https://www.aljazeera.com/news/2024/11/1/us-election-why-is-kamala-harris-losing-indian-american-voters,US election: Why is Kamala Harris losing Indian American voters?,She could become the Indian American president. So why is she bleeding votes – to Trump’s advantage?,Published On 1 Nov 2024
