Attributed Touch Type,Attributed Touch Time,Install Time,Event Time,Event Name,Event Value,Event Revenue,Event Revenue Currency,Event Revenue USD,Cost Model,Cost Value,Cost Currency,Event Source,Partner,Media Source,Channel,Campaign,Campaign ID,Adset,Adset ID,Ad,Ad ID,Ad Type,Site ID,Region,Country Code,State,City,Postal Code,DMA,IP,Operator,Carrier,Language,AppsFlyer ID,Customer User ID,Android ID,Advertising ID,IMEI,IDFA,IDFV,Device Category,Platform,OS Version,App Version,SDK Version,App ID,App Name,Is Retargeting,Retargeting Conversion Type,Is Primary Attribution,Attribution Lookback,Reengagement Window,Match Type,User Agent,HTTP Referrer,Original URL,Device Model
,,2024-12-11 23:34:08,2024-12-11 23:37:53,app_ad_interstitial_impression,"{""country_code"":""null"",""impression_id"":""1ed55ced-c4f5-4877-a0db-fd1fa3d26524"",""precision"":""1"",""format"":""inter"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.002169"",""unit_id"":""ca-app-pub-6560243855553100\/9297691233""}",,USD,,,,,SDK,,,,,,,,,,,,EU,UA,53,Poltava,36022,None,159.224.120.234,Vodafone UA,Vodafone UA,русский,1733960046383-8724907192118513421,35e740db-5637-4bb4-b632-147db66641ee,,00000000-0000-0000-0000-000000000000,,,,mobile_phone,android,11,3.4.2,v6.12.4,com.binibambini.drawingforgirls,Drawing for Girls GP,false,,true,,,,Dalvik/2.1.0 (Linux; U; Android 11; Mi Note 10 Pro Build/RKQ1.200826.002),,,Xiaomi::Mi Note 10 Pro
,,2024-12-11 23:34:08,2024-12-11 23:37:19,app_ad_banner_impression,"{""country_code"":""null"",""impression_id"":""fc57bdff-1a64-41ce-b83d-26a921427994"",""precision"":""3"",""format"":""banner"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.001221"",""unit_id"":""ca-app-pub-6560243855553100\/6439899818""}",,USD,,,,,SDK,,,,,,,,,,,,EU,UA,53,Poltava,36022,None,159.224.120.234,Vodafone UA,Vodafone UA,русский,1733960046383-8724907192118513421,35e740db-5637-4bb4-b632-147db66641ee,,00000000-0000-0000-0000-000000000000,,,,mobile_phone,android,11,3.4.2,v6.12.4,com.binibambini.drawingforgirls,Drawing for Girls GP,false,,true,,,,Dalvik/2.1.0 (Linux; U; Android 11; Mi Note 10 Pro Build/RKQ1.200826.002),,,Xiaomi::Mi Note 10 Pro
,,2024-12-11 23:34:08,2024-12-11 23:36:55,app_ad_interstitial_impression,"{""country_code"":""null"",""impression_id"":""b5d3c869-e559-4a78-8579-445fce5d4f43"",""precision"":""3"",""format"":""inter"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.002884"",""unit_id"":""ca-app-pub-6560243855553100\/9297691233""}",,USD,,,,,SDK,,,,,,,,,,,,EU,UA,53,Poltava,36022,None,159.224.120.234,Vodafone UA,Vodafone UA,русский,1733960046383-8724907192118513421,35e740db-5637-4bb4-b632-147db66641ee,,00000000-0000-0000-0000-000000000000,,,,mobile_phone,android,11,3.4.2,v6.12.4,com.binibambini.drawingforgirls,Drawing for Girls GP,false,,true,,,,Dalvik/2.1.0 (Linux; U; Android 11; Mi Note 10 Pro Build/RKQ1.200826.002),,,Xiaomi::Mi Note 10 Pro
,,2024-12-11 23:34:08,2024-12-11 23:36:17,app_ad_banner_impression,"{""country_code"":""null"",""impression_id"":""3c50f381-f5c0-4542-9f10-e0ea90c02874"",""precision"":""3"",""format"":""banner"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.001992"",""unit_id"":""ca-app-pub-6560243855553100\/6439899818""}",,USD,,,,,SDK,,,,,,,,,,,,EU,UA,53,Poltava,36022,None,159.224.120.234,Vodafone UA,Vodafone UA,русский,1733960046383-8724907192118513421,35e740db-5637-4bb4-b632-147db66641ee,,00000000-0000-0000-0000-000000000000,,,,mobile_phone,android,11,3.4.2,v6.12.4,com.binibambini.drawingforgirls,Drawing for Girls GP,false,,true,,,,Dalvik/2.1.0 (Linux; U; Android 11; Mi Note 10 Pro Build/RKQ1.200826.002),,,Xiaomi::Mi Note 10 Pro
,,2024-12-11 23:34:08,2024-12-11 23:35:16,app_ad_banner_impression,"{""country_code"":""null"",""impression_id"":""3c50f381-f5c0-4542-9f10-e0ea90c02874"",""precision"":""3"",""format"":""banner"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.002046"",""unit_id"":""ca-app-pub-6560243855553100\/6439899818""}",,USD,,,,,SDK,,,,,,,,,,,,EU,UA,53,Poltava,36022,None,159.224.120.234,Vodafone UA,Vodafone UA,русский,1733960046383-8724907192118513421,35e740db-5637-4bb4-b632-147db66641ee,,00000000-0000-0000-0000-000000000000,,,,mobile_phone,android,11,3.4.2,v6.12.4,com.binibambini.drawingforgirls,Drawing for Girls GP,false,,true,,,,Dalvik/2.1.0 (Linux; U; Android 11; Mi Note 10 Pro Build/RKQ1.200826.002),,,Xiaomi::Mi Note 10 Pro
,,2024-12-11 23:34:08,2024-12-11 23:34:16,app_ad_banner_impression,"{""country_code"":""null"",""impression_id"":""1bafbc8e-1760-4820-a5a4-9e8391c4e550"",""precision"":""3"",""format"":""banner"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.001236"",""unit_id"":""ca-app-pub-6560243855553100\/6439899818""}",,USD,,,,,SDK,,,,,,,,,,,,EU,UA,53,Poltava,36022,None,159.224.120.234,Vodafone UA,Vodafone UA,русский,1733960046383-8724907192118513421,35e740db-5637-4bb4-b632-147db66641ee,,00000000-0000-0000-0000-000000000000,,,,mobile_phone,android,11,3.4.2,v6.12.4,com.binibambini.drawingforgirls,Drawing for Girls GP,false,,true,,,,Dalvik/2.1.0 (Linux; U; Android 11; Mi Note 10 Pro Build/RKQ1.200826.002),,,Xiaomi::Mi Note 10 Pro
,,2024-11-23 13:19:02,2024-12-11 23:28:32,app_ad_interstitial_impression,"{""country_code"":""null"",""impression_id"":""73774473-52a3-4401-ad49-5b6eca737f2b"",""precision"":""3"",""format"":""inter"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.002888"",""unit_id"":""ca-app-pub-6560243855553100\/9297691233""}",,USD,,,,,SDK,,,,,,,,,,,,EU,UA,05,Vinnytsia,21029,None,178.74.254.97,,,русский,1732367941977-6719527592775734166,89178081-8b01-4dd5-a714-f399515f126e,,00000000-0000-0000-0000-000000000000,,,,unknown_device_category,android,14,3.4.0,v6.12.4,com.binibambini.drawingforgirls,Drawing for Girls GP,false,,true,,,,Dalvik/2.1.0 (Linux; U; Android 14; 2405CRPFDG Build/UKQ1.240116.001),,,Redmi::2405CRPFDG
,,2024-11-23 13:19:02,2024-12-11 23:26:26,app_ad_interstitial_impression,"{""country_code"":""null"",""impression_id"":""e42988fe-6863-4c3b-ba14-d41a47a49294"",""precision"":""3"",""format"":""inter"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.002911"",""unit_id"":""ca-app-pub-6560243855553100\/9297691233""}",,USD,,,,,SDK,,,,,,,,,,,,EU,UA,05,Vinnytsia,21029,None,178.74.254.97,,,русский,1732367941977-6719527592775734166,89178081-8b01-4dd5-a714-f399515f126e,,00000000-0000-0000-0000-000000000000,,,,unknown_device_category,android,14,3.4.0,v6.12.4,com.binibambini.drawingforgirls,Drawing for Girls GP,false,,true,,,,Dalvik/2.1.0 (Linux; U; Android 14; 2405CRPFDG Build/UKQ1.240116.001),,,Redmi::2405CRPFDG
,,2024-11-23 13:19:02,2024-12-11 23:26:08,app_ad_interstitial_impression,"{""country_code"":""null"",""impression_id"":""c22f7f54-eb7f-4461-8d8e-c0bda985f830"",""precision"":""3"",""format"":""inter"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.002911"",""unit_id"":""ca-app-pub-6560243855553100\/9297691233""}",,USD,,,,,SDK,,,,,,,,,,,,EU,UA,05,Vinnytsia,21029,None,178.74.254.97,,,русский,1732367941977-6719527592775734166,89178081-8b01-4dd5-a714-f399515f126e,,00000000-0000-0000-0000-000000000000,,,,unknown_device_category,android,14,3.4.0,v6.12.4,com.binibambini.drawingforgirls,Drawing for Girls GP,false,,true,,,,Dalvik/2.1.0 (Linux; U; Android 14; 2405CRPFDG Build/UKQ1.240116.001),,,Redmi::2405CRPFDG
,,2024-11-23 13:19:02,2024-12-11 23:24:22,app_ad_interstitial_impression,"{""country_code"":""null"",""impression_id"":""fa4c9802-61b3-49f6-8750-ea5642d80b9f"",""precision"":""3"",""format"":""inter"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.002817"",""unit_id"":""ca-app-pub-6560243855553100\/9297691233""}",,USD,,,,,SDK,,,,,,,,,,,,EU,UA,05,Vinnytsia,21029,None,178.74.254.97,,,русский,1732367941977-6719527592775734166,89178081-8b01-4dd5-a714-f399515f126e,,00000000-0000-0000-0000-000000000000,,,,unknown_device_category,android,14,3.4.0,v6.12.4,com.binibambini.drawingforgirls,Drawing for Girls GP,false,,true,,,,Dalvik/2.1.0 (Linux; U; Android 14; 2405CRPFDG Build/UKQ1.240116.001),,,Redmi::2405CRPFDG
,,2024-11-23 13:19:02,2024-12-11 23:21:53,app_ad_interstitial_impression,"{""country_code"":""null"",""impression_id"":""2374c977-9b47-4596-9798-593d6be76c66"",""precision"":""3"",""format"":""inter"",""currency"":""USD"",""source"":""AdMob"",""value"":""0.002913"",""unit_id"":""ca-app-pub-6560243855553100\/9297691233""}",,USD,,,,,SDK,,,,,,,,,,,,EU,UA,05,Vinnytsia,21029,None,178.74.254.97,,,русский,1732367941977-6719527592775734166,89178081-8b01-4dd5-a714-f399515f126e,,00000000-0000-0000-0000-000000000000,,,,unknown_device_category,android,14,3.4.0,v6.12.4,com.binibambini.drawingforgirls,Drawing for Girls GP,false,,true,,,,Dalvik/2.1.0 (Linux; U; Android 14; 2405CRPFDG Build/UKQ1.240116.001),,,Redmi::2405CRPFDG
